Gene	Transcripts
ARMCX6	NM_001009584.1
ARMS2	NM_001099667.1
ARNT	NM_001668.3
ARNT2	NM_014862.3
ARNTL	NM_001178.4
ARNTL2	NM_001248002.1
ARPC1A	NM_006409.3
ARPC1B	NM_005720.3
ARPC2	NM_152862.2
ARPC3	NM_005719.2
ARPC5	NM_005717.3
ARPC5L	NM_030978.1
ARPP19	NM_006628.4
ARPP21	NM_016300.4
ARR3	NM_004312.2
ARRB1	NM_004041.4
ARRB2	NM_004313.3
ARRDC1	NM_152285.2
ARRDC2	NM_015683.1
ARRDC3	NM_020801.2
ARRDC4	NM_183376.2
ARRDC5	NM_001080523.1
ARSA	NM_001085425.2
ARSB	NM_000046.3
ARSD	NM_001669.3
ARSE	NM_000047.2
ARSF	NM_001201538.1
ARSG	NM_014960.4
ARSH	NM_001011719.1
ARSI	NM_001012301.2
ARSJ	NM_024590.3
ARSK	NM_198150.2
ART1	NM_004314.2
ART3	NM_001130016.2
ART4	NM_021071.2
ART5	NM_053017.3
ARTN	NM_001136215.1
ARV1	NM_022786.1
ARVCF	NM_001670.2
ARX	NM_139058.2
AS3MT	NM_020682.3
ASAH1	NM_177924.3
ASAH2	NM_019893.2
ASAH2B	NM_001079516.2
ASAP1	NM_018482.3
ASAP2	NM_003887.2
ASAP3	NM_017707.3
ASB1	NM_001040445.1
ASB10	NM_080871.3
ASB11	NM_080873.2
ASB13	NM_024701.3
ASB14	NM_001142733.2
ASB15	NM_080928.3
ASB16	NM_080863.4
ASB17	NM_080868.2
ASB18	NM_212556.2
ASB2	NM_001202429.1
ASB4	NM_016116.2
ASB5	NM_080874.3
ASB6	NM_017873.3
ASB7	NM_198243.2
ASB8	NM_024095.3
ASB9	NM_001031739.2
ASCC1	NM_001198798.2
ASCC2	NM_032204.4
ASCC3	NM_006828.2
ASCL1	NM_004316.3
ASCL2	NM_005170.2
ASCL3	NM_020646.1
ASCL4	NM_203436.2
ASF1A	NM_014034.2
ASF1B	NM_018154.2
ASGR1	NM_001671.4
ASGR2	NM_080912.3
ASH1L	NM_018489.2
ASH2L	NM_004674.4
ASIP	NM_001672.2
ASL	NM_000048.3
ASMT	NM_001171038.1
ASMTL	NM_004192.3
ASNA1	NM_004317.2
ASNS	NM_001673.4
ASNSD1	NM_019048.2
ASPA	NM_000049.2
ASPDH	NM_001114598.1
ASPG	NM_001080464.2
ASPH	NM_004318.3
ASPHD1	NM_181718.3
ASPHD2	NM_020437.4
ASPM	NM_018136.4
ASPN	NM_017680.4
ASPRV1	NM_152792.2
ASPSCR1	NM_001251888.1
ASRGL1	NM_001083926.1
ASS1	NM_000050.4
ASTE1	NM_014065.2
ASTL	NM_001002036.3
ASTN1	NM_004319.1
ASTN2	NM_014010.4
ASUN	NM_018164.2
ASXL1	NM_015338.5
ASXL2	NM_018263.4
ASXL3	NM_030632.1
ASZ1	NM_130768.2
ATAD1	NM_032810.2
ATAD2	NM_014109.3
ATAD2B	NM_017552.2
ATAD3A	NM_001170535.1
ATAD3B	NM_031921.4
ATAD3C	NM_001039211.2
ATAD5	NM_024857.3
ATAT1	NM_001031722.2
ATCAY	NM_033064.4
ATE1	NM_001001976.1
ATF1	NM_005171.4
ATF2	NM_001880.3
ATF3	NM_001206484.2
ATF4	NM_182810.1
ATF5	NM_001193646.1
ATF6	NM_007348.3
ATF6B	NM_004381.4
ATF7	NM_006856.2
ATF7IP	NM_018179.3
ATF7IP2	NM_024997.3
ATG10	NM_031482.4
ATG12	NM_004707.3
ATG13	NM_001205119.1
ATG14	NM_014924.4
ATG16L1	NM_030803.6
ATG16L2	NM_033388.1
ATG2A	NM_015104.2
ATG2B	NM_018036.5
ATG3	NM_022488.4
ATG4A	NM_052936.3
ATG4B	NM_013325.4
ATG4C	NM_032852.3
ATG4D	NM_032885.5
ATG5	NM_004849.2
ATG7	NM_006395.2
ATG9A	NM_024085.3
ATG9B	NM_173681.5
ATHL1	NM_025092.4
ATIC	NM_004044.6
ATL1	NM_001127713.1
ATL2	NM_001135673.1
ATL3	NM_015459.3
ATM	NM_000051.3
ATMIN	NM_015251.2
ATN1	NM_001007026.1
ATOH1	NM_005172.1
ATOH7	NM_145178.3
ATOH8	NM_032827.6
ATOX1	NM_004045.3
ATP10A	NM_024490.3
ATP10B	NM_025153.2
ATP10D	NM_020453.3
ATP11A	NM_032189.3
ATP11B	NM_014616.2
ATP11C	NM_173694.4
ATP12A	NM_001676.5
ATP13A1	NM_020410.2
ATP13A2	NM_022089.2
ATP13A3	NM_024524.3
ATP13A4	NM_032279.2
ATP13A5	NM_198505.2
ATP1A1	NM_000701.7
ATP1A2	NM_000702.3
ATP1A4	NM_144699.3
ATP1B1	NM_001677.3
ATP1B2	NM_001678.3
ATP1B3	NM_001679.2
ATP1B4	NM_001142447.2
ATP2A1	NM_173201.3
ATP2A2	NM_170665.3
ATP2A3	NM_174953.2
ATP2B1	NM_001682.2
ATP2B2	NM_001001331.2
ATP2B3	NM_001001344.2
ATP2B4	NM_001684.4
ATP2C1	NM_001199180.1
ATP2C2	NM_014861.2
ATP4A	NM_000704.2
ATP4B	NM_000705.3
ATP5A1	NM_004046.5
ATP5B	NM_001686.3
ATP5C1	NM_001001973.1
ATP5D	NM_001687.4
ATP5E	NM_006886.3
ATP5F1	NM_001688.4
ATP5G1	NM_001002027.1
ATP5G2	NM_005176.5
ATP5G3	NM_001002258.4
ATP5H	NM_006356.2
ATP5I	NM_007100.3
ATP5J	NM_001003697.1
ATP5J2-PTCD1	NM_001198879.1
ATP5L	NM_006476.4
ATP5L2	NM_001165877.1
ATP5S	NM_001003803.2
ATP5SL	NM_018035.2
ATP6AP1	NM_001183.4
ATP6AP1L	NM_001017971.1
ATP6AP2	NM_005765.2
ATP6V0A1	NM_001130020.1
ATP6V0A2	NM_012463.3
ATP6V0A4	NM_130841.2
ATP6V0B	NM_004047.3
ATP6V0C	NM_001198569.1
ATP6V0D1	NM_004691.4
ATP6V0D2	NM_152565.1
ATP6V0E1	NM_003945.3
ATP6V0E2	NM_001100592.1
ATP6V1A	NM_001690.3
ATP6V1B1	NM_001692.3
ATP6V1B2	NM_001693.3
ATP6V1C1	NM_001695.4
ATP6V1C2	NM_001039362.1
ATP6V1D	NM_015994.3
ATP6V1E1	NM_001696.3
ATP6V1E2	NM_080653.3
ATP6V1F	NM_001198909.1
ATP6V1G1	NM_004888.3
ATP6V1G2	NM_130463.3
ATP6V1G3	NM_133262.2
ATP6V1H	NM_015941.3
ATP7A	NM_000052.5
ATP7B	NM_000053.3
ATP8A1	NM_006095.2
ATP8A2	NM_016529.4
ATP8B1	NM_005603.4
ATP8B2	NM_020452.3
ATP8B3	NM_001178002.2
ATP8B4	NM_024837.3
ATP9A	NM_006045.1
ATP9B	NM_198531.3
ATPAF1	NM_022745.4
ATPAF2	NM_145691.3
ATPBD4	NM_080650.3
ATPIF1	NM_016311.4
ATR	NM_001184.3
ATRIP	NM_130384.2
ATRN	NM_139321.2
ATRNL1	NM_207303.2
ATRX	NM_000489.3
ATXN1	NM_001128164.1
ATXN10	NM_013236.3
ATXN1L	NM_001137675.3
ATXN2	NM_002973.3
ATXN2L	NM_148414.2
ATXN3	NM_004993.5
ATXN3L	NM_001135995.1
ATXN7	NM_001177387.1
ATXN7L1	NM_020725.1
ATXN7L2	NM_153340.4
ATXN7L3	NM_020218.1
ATXN7L3B	NM_001136262.1
AUH	NM_001698.2
AUP1	NM_181575.3
AURKA	NM_003600.2
AURKAIP1	NM_001127230.1
AURKB	NM_004217.3
AURKC	NM_001015878.1
AUTS2	NM_015570.2
AVEN	NM_020371.2
AVIL	NM_006576.3
AVL9	NM_015060.1
AVP	NM_000490.4
AVPI1	NM_021732.2
AVPR1A	NM_000706.4
AVPR1B	NM_000707.3
AVPR2	NM_000054.4
AWAT1	NM_001013579.2
AWAT2	NM_001002254.1
AXDND1	NM_144696.5
AXIN1	NM_003502.3
AXIN2	NM_004655.3
AXL	NM_021913.4
AZGP1	NM_001185.3
AZI1	NM_014984.2
AZI2	NM_022461.4
AZIN1	NM_148174.2
AZU1	NM_001700.3
B2M	NM_004048.2
B3GALNT1	NM_033169.2
B3GALNT2	NM_152490.3
B3GALT1	NM_020981.3
B3GALT2	NM_003783.3
B3GALT4	NM_003782.3
B3GALT5	NM_033170.2
B3GALT6	NM_080605.3
B3GALTL	NM_194318.3
B3GAT1	NM_018644.3
B3GAT2	NM_080742.2
B3GAT3	NM_012200.3
B3GNT1	NM_006876.2
B3GNT2	NM_006577.5
B3GNT3	NM_014256.3
B3GNT4	NM_030765.2
B3GNT5	NM_032047.4
B3GNT6	NM_138706.4
B3GNT7	NM_145236.2
B3GNT8	NM_198540.2
B3GNT9	NM_033309.2
B3GNTL1	NM_001009905.1
B4GALNT1	NM_001478.4
B4GALNT2	NM_153446.2
B4GALNT3	NM_173593.3
B4GALNT4	NM_178537.4
B4GALT1	NM_001497.3
B4GALT2	NM_030587.2
B4GALT3	NM_001199874.1
B4GALT4	NM_003778.3
B4GALT5	NM_004776.3
B4GALT6	NM_004775.3
B4GALT7	NM_007255.2
B9D1	NM_015681.3
B9D2	NM_030578.3
BAALC	NM_024812.2
BAAT	NM_001127610.1
BABAM1	NM_001033549.1
BACE1	NM_012104.4
BACE2	NM_012105.4
BACH1	NM_001186.2
BACH2	NM_001170794.1
BAD	NM_032989.2
BAG1	NM_001172415.1
BAG2	NM_004282.3
BAG3	NM_004281.3
BAG4	NM_004874.3
BAG5	NM_001015049.2
BAG6	NM_001098534.1
BAGE	NM_001187
BAHCC1	NM_001080519.2
BAHD1	NM_014952.3
BAI1	NM_001702.2
BAI2	NM_001703.2
BAI3	NM_001704.2
BAIAP2	NM_017451.2
BAIAP2L1	NM_018842.4
BAIAP2L2	NM_025045.4
BAIAP3	NM_003933.4
BAK1	NM_001188.3
BAMBI	NM_012342.2
BANF1	NM_001143985.1
BANF2	NM_001159495.1
BANK1	NM_017935.4
BANP	NM_001173539.1
BAP1	NM_004656.3
BARD1	NM_000465.2
BARHL1	NM_020064.3
BARHL2	NM_020063.1
BARX1	NM_021570.3
BARX2	NM_003658.4
BASP1	NM_006317.4
BATF	NM_006399.3
BATF2	NM_138456.3
BATF3	NM_018664.2
BAX	NM_004324.3
BAZ1A	NM_013448.2
BAZ1B	NM_032408.3
BAZ2A	NM_013449.3
BAZ2B	NM_013450.2
BBC3	NM_001127240.2
BBIP1	NM_001243783
BBOX1	NM_003986.2
BBS1	NM_024649.4
BBS10	NM_024685.3
BBS12	NM_152618.2
BBS2	NM_031885.3
BBS4	NM_033028.4
BBS7	NM_176824.2
BBS9	NM_198428.2
BBX	NM_001142568.2
BCAM	NM_005581.4
BCAN	NM_021948.4
BCAP29	NM_001008405.2
BCAP31	NM_001139457.2
BCAR1	NM_001170714.1
BCAR3	NM_003567.3
BCAS1	NM_003657.2
BCAS2	NM_005872.2
BCAS3	NM_001099432.1
BCAS4	NM_017843.3
BCAT1	NM_001178093.1
BCAT2	NM_001190.3
BCCIP	NM_078468.2
BCDIN3D	NM_181708.2
BCHE	NM_000055.2
BCKDHA	NM_000709.3
BCKDHB	NM_183050.2
BCKDK	NM_005881.3
BCL10	NM_003921.4
BCL11A	NM_022893.3
BCL11B	NM_138576.2
BCL2	NM_000633.2
BCL2A1	NM_004049.3
BCL2L1	NM_138578.1
BCL2L10	NM_020396.2
BCL2L11	NM_138621.4
BCL2L12	NM_138639.1
BCL2L13	NM_015367.3
BCL2L14	NM_138723.1
BCL2L15	NM_001010922.2
BCL2L2-PABPN1	NM_001199864.1
BCL3	NM_005178.4
BCL6	NM_001706.4
BCL6B	NM_181844.3
BCL7A	NM_020993.3
BCL7B	NM_001707.3
BCL7C	NM_004765.2
BCL9	NM_004326.3
BCL9L	NM_182557.2
BCLAF1	NM_014739.2
BCMO1	NM_017429.2
BCO2	NM_031938.5
BCOR	NM_001123385.1
BCORL1	NM_021946.4
BCR	NM_004327.3
BCS1L	NM_001079866.1
BDH1	NM_004051.4
BDH2	NM_020139.3
BDKRB1	NM_000710.3
BDKRB2	NM_000623.3
BDNF	NM_001143810.1
BDP1	NM_018429.2
BEAN1	NM_001178020.2
BECN1	NM_003766.3
BEGAIN	NM_001159531.1
BEND2	NM_153346.4
BEND3	NM_001080450.2
BEND4	NM_207406.3
BEND5	NM_024603.2
BEND6	NM_152731.2
BEND7	NM_152751.2
BEST1	NM_004183.3
BEST2	NM_017682.2
BEST3	NM_032735.2
BEST4	NM_153274.2
BET1	NM_005868.4
BET1L	NM_001098787.1
BET3L	NM_001139444.2
BEX1	NM_018476.3
BEX2	NM_001168399.1
BEX4	NM_001127688.2
BEX5	NM_001012978.2
BFAR	NM_016561.2
BFSP1	NM_001195.3
BFSP2	NM_003571.2
BGLAP	NM_199173.4
BGN	NM_001711.4
BHLHA15	NM_177455.3
BHLHA9	NM_001164405.1
BHLHB9	NM_001142530.1
BHLHE22	NM_152414.4
BHLHE23	NM_080606.3
BHLHE40	NM_003670.2
BHLHE41	NM_030762.2
BHMT	NM_001713.2
BHMT2	NM_017614.4
BICC1	NM_001080512.1
BICD1	NM_001714.2
BICD2	NM_001003800.1
BID	NM_001244567.1
BIK	NM_001197.4
BIN1	NM_139343.2
BIN2	NM_016293.2
BIN3	NM_018688.4
BIRC2	NM_001166.4
BIRC3	NM_182962.2
BIRC5	NM_001012271.1
BIRC6	NM_016252.3
BIRC7	NM_139317.2
BIRC8	NM_033341.4
BIVM-ERCC5	NM_001204425.1
BLCAP	NM_001167822.1
BLID	NM_001001786.2
BLK	NM_001715.2
BLM	NM_000057.2
BLMH	NM_000386.3
BLNK	NM_013314.3
BLOC1S1	NM_001487.3
BLOC1S2	NM_173809.4
BLOC1S3	NM_212550.3
BLVRA	NM_000712.3
BLVRB	NM_000713.2
BLZF1	NM_003666.2
BMF	NM_001003940.1
BMP1	NM_006129.4
BMP10	NM_014482.1
BMP15	NM_005448.2
BMP2	NM_001200.2
BMP2K	NM_198892.1
BMP3	NM_001201.2
BMP4	NM_130851.2
BMP5	NM_021073.2
BMP6	NM_001718.4
BMP7	NM_001719.2
BMP8A	NM_181809.3
BMP8B	NM_001720.3
BMPER	NM_133468.4
BMPR1A	NM_004329.2
BMPR1B	NM_001203.2
BMPR2	NM_001204.6
BMS1	NM_014753.3
BMX	NM_203281.2
BNC1	NM_001717.3
BNC2	NM_017637.5
BNIP1	NM_001205.2
BNIP2	NM_004330.2
BNIP3	NM_004052.2
BNIP3L	NM_004331.2
BNIPL	NM_138278.3
BOC	NM_033254.2
BOD1	NM_138369.2
BOK	NM_032515.4
BOLA1	NM_016074.3
BOLA2B	NM_001039182.1
BOLA3	NM_212552.2
BOLL	NM_197970.2
BOP1	NM_015201.3
BORA	NM_024808.2
BPGM	NM_001724.4
BPHL	NM_004332.2
BPI	NM_001725.2
BPIFA1	NM_001243193.1
BPIFA2	NM_080574.2
BPIFA3	NM_178466.3
BPIFB1	NM_033197.2
BPIFB2	NM_025227.2
BPIFB3	NM_182658.1
BPIFB4	NM_182519.2
BPIFB6	NM_174897.2
BPIFC	NM_174932.2
BPNT1	NM_006085.4
BPTF	NM_182641.3
BPY2	NM_004678.2
BRAF	NM_004333.4
BRAP	NM_006768.3
BRAT1	NM_152743.3
BRCA1	NM_007294.3
BRCA2	NM_000059.3
BRCC3	NM_024332.3
BRD1	NM_014577.1
BRD2	NM_001199456.1
BRD3	NM_007371.3
BRD4	NM_058243.2
BRD7	NM_001173984.2
BRD8	NM_139199.1
BRD9	NM_023924.4
BRDT	NM_001726.3
BRE	NM_004899.4
BRF1	NM_001519.3
BRF2	NM_018310.3
BRI3	NM_015379.4
BRI3BP	NM_080626.5
BRIP1	NM_032043.2
BRIX1	NM_018321.3
BRK1	NM_018462.4
BRMS1	NM_001024957.1
BRMS1L	NM_032352.3
BROX	NM_144695.2
BRPF1	NM_001003694.1
BRPF3	NM_015695.2
BRS3	NM_001727.1
BRSK1	NM_032430.1
BRSK2	NM_003957.3
BRWD1	NM_018963.4
BRWD3	NM_153252.4
BSCL2	NM_001122955.3
BSDC1	NM_018045.6
BSG	NM_001728.3
BSN	NM_003458.3
BSND	NM_057176.2
BSPH1	NM_001128326.2
BSPRY	NM_017688.2
BST1	NM_004334.2
BST2	NM_004335.2
BSX	NM_001098169.1
BTAF1	NM_003972.2
BTBD1	NM_025238.3
BTBD10	NM_032320.5
BTBD11	NM_001018072.1
BTBD16	NM_144587.2
BTBD17	NM_001080466.1
BTBD18	NM_001145101.1
BTBD19	NM_001136537.1
BTBD2	NM_017797.3
BTBD3	NM_014962.2
BTBD6	NM_033271.2
BTBD7	NM_001002860.2
BTBD8	NM_183242.3
BTBD9	NM_001099272.1
BTC	NM_001729.2
BTD	NM_000060.2
BTF3	NM_001037637.1
BTF3L4	NM_152265.4
BTG1	NM_001731.2
BTG2	NM_006763.2
BTG3	NM_006806.4
BTG4	NM_017589.3
BTK	NM_000061.2
BTLA	NM_181780.3
BTN1A1	NM_001732.2
BTN2A1	NM_007049.4
BTN2A2	NM_006995.4
BTN3A1	NM_007048.5
BTN3A2	NM_001197246.2
BTN3A3	NM_006994.4
BTNL2	NM_019602.1
BTNL3	NM_197975.2
BTNL8	NM_001040462.2
BTNL9	NM_152547.4
BTRC	NM_033637.3
BUB1	NM_004336.4
BUB1B	NM_001211.5
BUB3	NM_004725.3
BUD13	NM_032725.3
BUD31	NM_003910.3
BVES	NM_007073.4
BYSL	NM_004053.3
BZRAP1	NM_004758.3
BZW1	NM_001207068.1
BZW2	NM_014038.2
C10orf10	NM_007021.3
C10orf105	NM_001164375.2
C10orf107	NM_173554.2
C10orf11	NM_032024.3
C10orf111	NM_153244.1
C10orf113	NM_001010896.2
C10orf114	NM_001010911.2
C10orf116	NM_006829.2
C10orf118	NM_018017.2
C10orf12	NM_015652.2
C10orf120	NM_001010912.2
C10orf128	NM_001010863.1
C10orf129	NM_207321.2
C10orf131	NM_001130446.2
C10orf137	NM_001202438.1
C10orf2	NM_021830.4
C10orf25	NM_001039380.2
C10orf32	NM_001136200.1
C10orf35	NM_145306.2
C10orf47	NM_153256.3
C10orf53	NM_182554.2
C10orf54	NM_022153.1
C10orf55	NM_001001791.2
C10orf62	NM_001009997.2
C10orf67	NM_153714.2
C10orf68	NM_024688.2
C10orf71	NM_001135196.1
C10orf76	NM_024541.2
C10orf82	NM_144661.2
C10orf88	NM_024942.3
C10orf90	NM_001004298.2
C10orf91	NM_173541.2
C10orf95	NM_024886.1
C10orf99	NM_207373.2
C11orf1	NM_022761.2
C11orf10	NM_014206.3
C11orf16	NM_020643.2
C11orf20	NM_001039496.1
C11orf21	NM_001142946.1
C11orf24	NM_022338.3
C11orf30	NM_020193.3
C11orf31	NM_170746.2
C11orf34	NM_001145024.1
C11orf35	NM_173573.2
C11orf40	NM_144663.1
C11orf42	NM_173525.2
C11orf45	NM_145013.2
C11orf48	NM_024099.3
C11orf49	NM_001003677.2
C11orf52	NM_080659.2
C11orf53	NM_198498.1
C11orf54	NM_014039.2
C11orf57	NM_001082969.1
C11orf58	NM_014267.5
C11orf63	NM_024806.3
C11orf65	NM_152587.3
C11orf68	NM_001135635.1
C11orf70	NM_032930.2
C11orf71	NM_019021.3
C11orf73	NM_016401.3
C11orf74	NM_138787.3
C11orf75	NM_020179.2
C11orf80	NM_024650.3
C11orf82	NM_145018.3
C11orf83	NM_001085372.2
C11orf84	NM_138471.1
C11orf85	NM_001037225.1
C11orf86	NM_001136485.1
C11orf87	NM_207645.3
C11orf88	NM_207430.2
C11orf9	NM_001127392.1
C11orf91	NM_001166692.1
C11orf93	NM_001136105.2
C11orf94	NM_001080446.2
C11orf95	NM_001144936
C11orf96	NM_001145033.1
C12orf10	NM_021640.3
C12orf23	NM_152261.2
C12orf29	NM_001009894.2
C12orf39	NM_030572.2
C12orf4	NM_020374.2
C12orf40	NM_001031748.2
C12orf42	NM_198521.3
C12orf43	NM_022895.1
C12orf44	NM_001098673.1
C12orf45	NM_152318.2
C12orf49	NM_024738.1
C12orf5	NM_020375.2
C12orf50	NM_152589.1
C12orf52	NM_032848.1
C12orf54	NM_152319.3
C12orf56	NM_001170633.1
C12orf57	NM_138425.2
C12orf60	NM_175874.3
C12orf61	NM_175895.3
C12orf65	NM_152269.4
C12orf66	NM_152440.4
C12orf68	NM_001013635.3
C12orf69	NM_001013698.2
C12orf70	NM_001145010.1
C12orf71	NM_001080406.1
C12orf73	NM_001135570.1
C12orf74	NM_001037671.3
C12orf75	NM_001145199.1
C12orf76	NM_207435.1
C12orf77	NM_001101339.1
C13orf35	NM_207440.1
C14orf1	NM_007176.3
C14orf101	NM_017799.3
C14orf105	NM_018168.2
C14orf119	NM_017924.3
C14orf132	NM_001252507.1
C14orf142	NM_032490.4
C14orf159	NM_001102367.1
C14orf166	NM_016039.2
C14orf166B	NM_194287.2
C14orf169	NM_024644
C14orf177	NM_182560.2
C14orf178	NM_174943.3
C14orf180	NM_001008404.1
C14orf182	NM_001012706.1
C14orf183	NM_001014830.1
C14orf2	NM_004894.2
C14orf28	NM_001017923.1
C14orf37	NM_001001872.2
C14orf39	NM_174978.2
C14orf79	NM_174891.3
C14orf80	NM_001134875.1
C14orf93	NM_001130708.1
C15orf26	NM_173528.2
C15orf27	NM_152335.2
C15orf32	NM_153040.2
C15orf38-AP3S2	NM_001199058.1
C15orf39	NM_015492.4
C15orf40	NM_001160113
C15orf41	NM_001130010.1
C15orf43	NM_152448.2
C15orf48	NM_032413.3
C15orf52	NM_207380.2
C15orf53	NM_207444.2
C15orf54	NM_207445.2
NUTM1	NM_175741.1
C15orf56	NM_001039905.2
C15orf57	NM_001080791.1
C15orf59	NM_001039614.1
C15orf60	NM_001042367.1
C15orf61	NM_001143936.1
C15orf62	NM_001130448.2
C16orf11	NM_145270.2
C16orf13	NM_032366.3
C16orf3	NM_001214.3
C16orf45	NM_033201.2
C16orf46	NM_152337.2
C16orf52	NM_001164579.1
C16orf54	NM_175900.3
C16orf55	NM_153025.2
C16orf58	NM_022744.3
C16orf59	NM_025108.2
C16orf62	NM_020314.5
C16orf70	NM_025187.3
C16orf71	NM_139170.2
C16orf72	NM_014117.2
C16orf74	NM_206967.2
C16orf78	NM_144602.2
C16orf80	NM_013242.2
C16orf82	NM_001145545
C16orf86	NM_001012984.2
C16orf87	NM_001001436.2
C16orf88	NM_001012991.2
C16orf89	NM_152459.4
C16orf90	NM_001080524.1
C16orf91	NM_001010878
C16orf92	NM_001109660.1
C16orf93	NM_001014979.2
C16orf95	NM_001195124.1
C16orf96	NM_001145011.1
C17orf100	NM_001105520.1
C17orf102	NM_207454.2
C17orf103	NM_152914.2
C17orf104	NM_001145080.2
C17orf105	NM_001136483.1
C17orf107	NM_001145536.1
C17orf47	NM_001038704.2
C17orf49	NM_001142798.2
C17orf50	NM_145272.3
C17orf51	NM_001113434.3
C17orf53	NM_024032.3
C17orf58	NM_181655.2
C17orf59	NM_017622.2
C17orf61	NM_152766.3
C17orf62	NM_001193654.1
C17orf64	NM_181707.2
C17orf66	NM_152781.2
C17orf67	NM_001085430.2
C17orf70	NM_025161.5
C17orf72	NM_001191029.1
C17orf74	NM_175734.4
C17orf75	NM_022344.3
C17orf77	NM_152460.2
C17orf78	NM_173625.3
C17orf80	NM_017941.4
C17orf82	NM_203425.1
C17orf85	NM_001114118.2
C17orf89	NM_001086521.1
C17orf96	NM_001130677.1
C17orf97	NM_001013672.4
C17orf98	NM_001080465.2
C17orf99	NM_001163075.1
C18orf21	NM_031446.4
C18orf25	NM_145055.3
C18orf32	NM_001199346.1
C18orf42	NM_001145194.1
C18orf54	NM_173529.4
C18orf56	NM_001012716.2
C18orf62	NM_001037331.2
C18orf63	NM_001174123.1
C18orf8	NM_013326.4
C19orf10	NM_019107.3
C19orf12	NM_001031726.3
C19orf18	NM_152474.4
C19orf21	NM_173481.2
C19orf24	NM_017914.3
C19orf25	NM_152482.2
C19orf26	NM_152769.2
C19orf33	NM_033520.1
C19orf35	NM_198532.2
C19orf38	NM_001136482.1
C19orf40	NM_152266.3
C19orf43	NM_024038.2
C19orf44	NM_032207.2
C19orf45	NM_198534.2
C19orf48	NM_199250.1
C19orf52	NM_138358.2
C19orf53	NM_014047.2
C19orf54	NM_198476.3
C19orf55	NM_001039887.2
C19orf57	NM_024323.3
C19orf59	NM_174918.2
C19orf6	NM_001033026.1
C19orf60	NM_001100419.1
C19orf66	NM_018381.2
C19orf69	NM_001130514.1
C19orf70	NM_205767.1
C19orf71	NM_001135580.1
C19orf73	NM_018111.2
C19orf77	NM_001136503.1
C19orf80	NM_018687.6
C19orf81	NM_001195076.1
C1D	NM_006333.3
C1GALT1	NM_020156.4
C1GALT1C1	NM_001011551.2
C1QA	NM_015991.2
C1QB	NM_000491.3
C1QBP	NM_001212.3
C1QC	NM_001114101.1
C1QL1	NM_006688.3
C1QL2	NM_182528.3
C1QL3	NM_001010908.1
C1QL4	NM_001008223.1
C1QTNF1	NM_030968.3
C1QTNF2	NM_031908.4
C1QTNF3	NM_181435.5
C1QTNF4	NM_031909.2
C1QTNF5	NM_015645.4
C1QTNF6	NM_031910.3
C1QTNF7	NM_031911.4
C1QTNF8	NM_207419.3
C1QTNF9	NM_178540.3
C1QTNF9B	NM_001007537.1
C1QTNF9B-AS1	NM_001135816
C1R	NM_001733.4
C1RL	NM_016546.2
C1S	NM_201442.2
C1orf100	NM_001012970.2
C1orf101	NM_001130957.1
C1orf105	NM_139240.3
C1orf106	NM_018265.3
C1orf109	NM_017850.1
C1orf110	NM_178550.4
C1orf111	NM_182581.3
C1orf112	NM_018186.2
C1orf114	NM_021179.1
C1orf115	NM_024709.4
C1orf116	NM_023938.5
C1orf122	NM_198446.2
C1orf123	NM_017887.1
C1orf127	NM_001170754.1
C1orf129	NM_001163629.1
C1orf131	NM_152379.2
C1orf141	NM_001013674
C1orf146	NM_001012425.1
C1orf158	NM_152290.2
C1orf159	NM_017891.4
C1orf162	NM_174896.2
C1orf168	NM_001004303.4
C1orf172	NM_152365.2
C1orf173	NM_001002912.4
C1orf174	NM_207356.2
C1orf177	NM_001110533.1
C1orf185	NM_001136508.1
C1orf186	NM_001007544.2
C1orf189	NM_001010979.2
C1orf192	NM_001013625.3
C1orf194	NM_001122961.1
C1orf198	NM_032800.2
C1orf21	NM_030806.3
C1orf210	NM_182517.2
C1orf212	NM_138428.5
C1orf216	NM_152374.1
C1orf226	NM_001135240.1
C1orf227	NM_001024601.2
C1orf228	NM_001145636.1
C1orf229	NM_207401.1
C1orf27	NM_017847.5
C1orf35	NM_024319.2
C1orf43	NM_001098616.1
C1orf50	NM_024097.3
C1orf51	NM_144697.2
C1orf52	NM_198077.3
C1orf53	NM_001024594.2
C1orf54	NM_024579.3
C1orf56	NM_017860.3
C1orf61	NM_006365.1
C1orf63	NM_020317.3
C1orf64	NM_178840.2
C1orf65	NM_152610.2
C1orf68	NM_001024679.2
C1orf74	NM_152485.2
C1orf85	NM_144580.2
C1orf86	NM_182533.2
C1orf87	NM_152377.2
C1orf94	NM_001134734.1
C1orf95	NM_001003665.3
C20orf111	NM_016470.7
C20orf112	NM_080616.4
C20orf118	NM_080628.1
C20orf132	NM_152503.4
C20orf141	NM_080739.2
C20orf144	NM_080825.3
C20orf166	NM_178463.3
C20orf173	NM_001145350.1
C20orf194	NM_001009984.2
C20orf195	NM_024059.2
C20orf196	NM_152504.2
C20orf197	NM_173644.1
C20orf201	NM_001007125.1
C20orf202	NM_001009612.2
C20orf203	NM_182584
C20orf26	NM_015585.3
C20orf27	NM_001039140.2
C20orf72	NM_052865.2
C20orf85	NM_178456.2
C20orf96	NM_153269.2
C21orf2	NM_004928.2
C21orf33	NM_004649.6
C21orf58	NM_058180.3
C21orf59	NM_021254.2
C21orf62	NM_001162496.2
