NM_000014.5	A2M
NM_012331.4	MSRA
NM_012333.4	MYCBP
NM_012334.2	MYO10
NM_012335.3	MYO1F
NM_012336.3	NARF
NM_012337.2	CFAP45
NM_012338.3	TSPAN12
NM_012339.3	TSPAN15
NM_012340.4	NFATC2
NM_012341.2	GTPBP4
NM_012342.2	BAMBI
NM_012343.3	NNT
NM_012344.3	NTSR2
NM_012345.2	NUFIP1
NM_012346.4	NUP62
NM_012347.4	FBXO9
NM_012351.2	OR10J1
NM_012352.2	OR1A2
NM_012353.2	OR1C1
NM_012360.1	OR1F1
NM_012363.1	OR1N1
NM_012364.1	OR1Q1
NM_012365.1	OR2A5
NM_012367.1	OR2B6
NM_012368.2	OR2C1
NM_012369.2	OR2F1
NM_012373.2	OR3A3
NM_012374.1	OR4D1
NM_012375.2	OR52A1
NM_012377.1	OR7C2
NM_012378.1	OR8B8
NM_012381.3	ORC3
NM_012382.2	TTC33
NM_012383.4	OSTF1
NM_012384.4	GMEB2
NM_012385.2	NUPR1
NM_012387.2	PADI4
NM_012388.3	BLOC1S6
NM_012390.3	SMR3A
NM_012391.2	SPDEF
NM_012392.3	PEF1
NM_012393.2	PFAS
NM_012394.3	PFDN2
NM_012395.3	CDK14
NM_012396.4	PHLDA3
NM_012397.3	SERPINB13
NM_012398.2	PIP5K1C
NM_012399.4	PITPNB
NM_012400.3	PLA2G2D
NM_012401.3	PLXNB2
NM_012402.3	ARFIP2
NM_012403.1	ANP32C
NM_012404.2	ANP32D
NM_012405.3	ICMT
NM_012406.3	PRDM4
NM_012407.3	PICK1
NM_012408.5	ZMYND8
NM_012409.3	PRND
NM_012410.3	SEZ6L2
NM_012411.5	PTPN22
NM_012412.4	H2AFV
NM_012413.3	QPCT
NM_012414.3	RAB3GAP2
NM_012415.3	RAD54B
NM_012416.3	RANBP6
NM_012417.3	PITPNC1
NM_012418.3	FSCN2
NM_012419.4	RGS17
NM_012420.2	IFIT5
NM_012421.3	RLF
NM_012423.3	RPL13A
NM_012424.4	RPS6KC1
NM_012425.3	RSU1
NM_012426.4	SF3B3
NM_012427.4	KLK5
NM_012428.3	NPTN
NM_012429.4	SEC14L2
NM_012430.4	SEC22A
NM_012431.2	SEMA3E
NM_012432.3	SETDB1
NM_012433.3	SF3B1
NM_012434.4	SLC17A5
NM_012435.2	SHC2
NM_012437.5	SNAPIN
NM_012443.3	SPAG6
NM_012444.2	SPO11
NM_012445.3	SPON2
NM_012446.4	SSBP2
NM_012447.3	STAG3
NM_012448.3	STAT5B
NM_012449.2	STEAP1
NM_012450.3	SLC13A4
NM_012451.3	SYNGR4
NM_012452.2	TNFRSF13B
NM_012453.2	TBL2
NM_012454.3	TIAM2
NM_012455.2	PSD4
NM_012456.2	TIMM10
NM_012458.3	TIMM13
NM_012459.2	TIMM8B
NM_012460.3	TIMM9
NM_012461.2	TINF2
NM_012463.3	ATP6V0A2
NM_012464.4	TLL1
NM_012465.3	TLL2
NM_012466.3	TSPAN16
NM_012467.3	TPSG1
NM_012469.3	PRPF6
NM_012470.3	TNPO3
NM_012471.2	TRPC5
NM_012472.5	LRRC6
NM_012473.3	TXN2
NM_012474.4	UCK2
NM_012475.4	USP21
NM_012476.2	VAX2
NM_012477.3	WBP1
NM_012478.3	WBP2
NM_012479.3	YWHAG
NM_012481.4	IKZF3
NM_012482.4	ZNF281
NM_012483.3	GNLY
NM_012484.2	HMMR
NM_012485.2	HMMR
NM_012486.2	PSEN2
NM_013227.3	ACAN
NM_013229.2	APAF1
NM_013231.5	FLRT2
NM_013232.3	PDCD6
NM_013233.2	STK39
NM_013234.3	EIF3K
NM_013235.4	DROSHA
NM_013236.3	ATXN10
NM_013237.3	PRELID1
NM_013238.2	DNAJC15
NM_013239.4	PPP2R3B
NM_013240.5	N6AMT1
NM_013241.2	FHOD1
NM_013242.2	CFAP20
NM_013243.3	SCG3
NM_013244.3	MGAT4C
NM_013245.2	VPS4A
NM_013246.2	CLCF1
NM_013247.4	HTRA2
NM_013248.2	NXT1
NM_013249.2	ZNF214
NM_013250.2	ZNF215
NM_013251.3	TAC3
NM_013252.2	CLEC5A
NM_013253.4	DKK3
NM_013254.3	TBK1
NM_013255.4	MKLN1
NM_013256.5	ZNF180
NM_013257.4	SGK3
NM_013258.4	PYCARD
NM_013259.2	TAGLN3
NM_013260.7	SAP30BP
NM_013261.4	PPARGC1A
NM_013262.3	MYLIP
NM_013263.4	BRD7
NM_013264.4	DDX25
NM_013265.3	VPS51
NM_013266.3	CTNNA3
NM_013267.3	GLS2
NM_013268.2	LGALS13
NM_013269.5	CLEC2D
NM_013270.4	PRSS50
NM_013271.4	PCSK1N
NM_013272.3	SLCO3A1
NM_013274.3	POLL
NM_013275.5	ANKRD11
NM_013276.2	SHPK
NM_013277.4	RACGAP1
NM_013278.3	IL17C
NM_013279.3	MYRF
NM_013280.4	FLRT1
NM_013281.3	FLRT3
NM_013282.4	UHRF1
NM_013283.4	MAT2B
NM_013284.3	POLM
NM_013285.2	GNL2
NM_013286.4	RBM15B
NM_013289.2	KIR3DL1
NM_013290.6	PSMC3IP
NM_013291.2	CPSF1
NM_013292.4	MYLPF
NM_013293.4	TRA2A
NM_013296.4	GPSM2
NM_013299.3	SAC3D1
NM_013300.2	FAM216A
NM_013301.2	CCDC106
NM_013302.3	EEF2K
NM_013304.2	ZDHHC1
NM_013305.5	ST8SIA5
NM_013306.4	SNX15
NM_013308.3	GPR171
NM_013309.5	SLC30A4
NM_013310.3	C2orf27A
NM_013312.2	HOOK2
NM_013313.4	YPEL1
NM_013314.3	BLNK
NM_013316.3	CNOT4
NM_013318.3	PRRC2B
NM_013319.2	UBIAD1
NM_013320.2	HCFC2
NM_013321.3	SNX8
NM_013322.2	SNX10
NM_013323.2	SNX11
NM_013324.5	CISH
NM_013325.4	ATG4B
NM_013326.4	C18orf8
NM_013327.4	PARVB
NM_013328.3	PYCR2
NM_013329.3	PAXBP1
NM_013330.4	NME7
NM_013332.3	HILPDA
NM_013333.3	EPN1
NM_013334.3	GMPPB
NM_013335.3	GMPPA
NM_013336.3	SEC61A1
NM_013337.3	TIMM22
NM_013338.4	ALG5
NM_013339.3	ALG6
NM_013340.3	PCDHB1
NM_013341.4	OLA1
NM_013342.3	TFPT
NM_013345.3	GPR132
NM_013346.3	SNX12
NM_013347.4	RPA4
NM_013348.3	KCNJ14
NM_013349.4	NENF
NM_013351.1	TBX21
NM_013352.3	DSE
NM_013353.2	TMOD4
NM_013354.6	CNOT7
NM_013355.4	PKN3
NM_013356.2	SLC16A8
NM_013357.2	PURG
NM_013358.2	PADI1
NM_013359.2	ZNF221
NM_013360.2	ZNF222
NM_013361.5	ZNF223
NM_013362.3	ZNF225
NM_013363.3	PCOLCE2
NM_013364.5	PNMA3
NM_013365.4	GGA1
NM_013366.3	ANAPC2
NM_013367.2	ANAPC4
NM_013368.3	SERTAD3
NM_013369.3	DNMT3L
NM_013371.3	IL19
NM_013372.6	GREM1
NM_013373.3	ZDHHC8
NM_013374.5	PDCD6IP
NM_013375.3	ABT1
NM_013376.3	SERTAD1
NM_013377.3	PDZRN4
NM_013378.2	VPREB3
NM_013379.2	DPP7
NM_013380.3	ZNF112
NM_013381.2	TRHDE
NM_013382.5	POMT2
NM_013385.4	CYTH4
NM_013386.4	SLC25A24
NM_013387.3	UQCR10
NM_013388.5	PREB
NM_013389.2	NPC1L1
NM_013390.2	TMEM2
NM_013391.3	DMGDH
NM_013393.1	MRM2
NM_013396.4	USP25
NM_013397.5	PRICKLE4
NM_013398.3	ZNF224
NM_013399.2	CDIP1
NM_013400.3	REPIN1
NM_013401.3	RAB3IL1
NM_013402.4	FADS1
NM_013403.2	STRN4
NM_013404.4	MSLN
NM_013406.2	DHPS
NM_013409.2	FST
NM_013410.3	AK4
NM_013411.4	AK2
NM_013412.3	RABL2A
NM_013416.3	NCF4
NM_013417.3	IARS
NM_013421.2	GGT1
NM_013423.2	ARHGAP6
NM_013427.2	ARHGAP6
NM_013430.2	GGT1
NM_013431.2	KLRC4
NM_013432.4	TONSL
NM_013433.4	TNPO2
NM_013434.4	KCNIP3
NM_013435.2	RAX
NM_013436.4	NCKAP1
NM_013437.4	LRP12
NM_013438.4	UBQLN1
NM_013439.2	PILRA
NM_013441.3	RCAN3
NM_013442.2	STOML2
NM_013443.4	ST6GALNAC6
NM_013444.3	UBQLN2
NM_013445.3	GAD1
NM_013446.3	MKRN1
NM_013447.3	ADGRE2
NM_013448.2	BAZ1A
NM_013449.3	BAZ2A
NM_013450.3	BAZ2B
NM_013451.3	MYOF
NM_013452.2	VCX
NM_013453.3	SPANXA1
NM_013936.3	OR12D2
NM_013937.3	OR11A1
NM_013938.1	OR10H3
NM_013939.2	OR10H2
NM_013940.2	OR10H1
NM_013941.3	OR10C1
NM_013942.4	PAX3
NM_013943.2	CLIC4
NM_013945.2	PAX7
NM_013952.3	PAX8
NM_013953.3	PAX8
NM_013955.2	NOX1
NM_013974.2	DDAH2
NM_013975.3	LIG3
NM_013976.3	GCDH
NM_013978.2	BNIP1
NM_013979.2	BNIP1
NM_013980.2	BNIP1
NM_013986.3	EWSR1
NM_013987.2	PARK2
NM_013988.2	PARK2
NM_013989.4	DIO2
NM_013992.3	PAX8
NM_013993.2	DDR1
NM_013994.2	DDR1
NM_013995.2	LAMP2
NM_013996.2	TAC1
NM_013997.2	TAC1
NM_013998.2	TAC1
NM_013999.3	MEOX1
NM_014000.2	VCL
NM_014001.4	GGA3
NM_014002.3	IKBKE
NM_014003.3	DHX38
NM_014004.2	PCDHGA8
NM_014005.4	PCDHA9
NM_014007.3	ZBTB43
NM_014008.4	CCDC22
NM_014009.3	FOXP3
NM_014010.4	ASTN2
NM_014011.4	SOCS5
NM_014012.5	REM1
NM_014015.3	DEXI
NM_014016.4	SACM1L
NM_014017.3	LAMTOR2
NM_014018.2	MRPS28
NM_014020.3	TMEM176B
NM_014021.3	SSX2IP
NM_014023.3	WDR37
NM_014026.4	DCPS
NM_014028.3	OSTM1
NM_014030.3	GIT1
NM_014031.4	SLC27A6
NM_014033.3	METTL7A
NM_014034.2	ASF1A
NM_014035.2	SNX24
NM_014037.2	SLC6A16
NM_014038.2	BZW2
NM_014039.3	C11orf54
NM_014041.3	SPCS1
NM_014042.2	ANAPC15
NM_014043.3	CHMP2B
NM_014044.6	UNC50
NM_014045.4	LRP10
NM_014046.3	MRPS18B
NM_014047.2	C19orf53
NM_014048.4	MKL2
NM_014049.4	ACAD9
NM_014050.3	MRPL42
NM_014051.3	TMEM14A
NM_014053.3	FLVCR1
NM_014055.3	IFT81
NM_014056.3	HIGD1A
NM_014057.4	OGN
NM_014058.3	TMPRSS11E
NM_014059.2	RGCC
NM_014060.2	MCTS1
NM_014061.4	MAGEH1
NM_014062.2	NOB1
NM_014063.6	DBNL
NM_014064.3	NTMT1
NM_014065.3	ASTE1
NM_014066.3	COMMD5
NM_014067.3	MACROD1
NM_014068.2	PSORS1C1
NM_014069.2	PSORS1C2
NM_014070.2	C6orf15
NM_014071.4	NCOA6
NM_014077.3	FAM32A
NM_014078.5	MRPL13
NM_014079.3	KLF15
NM_014080.4	DUOX2
NM_014089.3	NUP58
NM_014096.3	SLC43A3
NM_014106.3	ZNF770
NM_014109.3	ATAD2
NM_014110.4	PPP1R8
NM_014112.4	TRPS1
NM_014117.2	C16orf72
NM_014138.4	FAM156A
NM_014139.2	SCN11A
NM_014140.3	SMARCAL1
NM_014141.5	CNTNAP2
NM_014142.3	NUDT5
NM_014143.3	CD274
NM_014145.4	TMEM230
NM_014146.3	LAT2
NM_014149.3	WDR91
NM_014153.3	ZC3H7A
NM_014154.4	ARMC8
NM_014155.4	ZBTB44
NM_014157.3	CCDC113
NM_014159.6	SETD2
NM_014160.4	MKRN2
NM_014161.4	MRPL18
NM_014164.5	FXYD5
NM_014165.3	NDUFAF4
NM_014166.3	MED4
NM_014167.4	CCDC59
NM_014168.3	METTL5
NM_014169.3	CHMP4A
NM_014170.2	GTPBP8
NM_014171.5	CRIPT
NM_014172.5	PHPT1
NM_014173.3	BABAM1
NM_014174.2	THYN1
NM_014175.3	MRPL15
NM_014176.3	UBE2T
NM_014177.2	TIMM21
NM_014178.7	STXBP6
NM_014180.3	MRPL22
NM_014181.2	LGALSL
NM_014182.4	ORMDL2
NM_014183.3	DYNLRB1
NM_014184.3	CNIH4
NM_014186.3	COMMD9
NM_014187.3	TMEM208
NM_014188.2	SSU72
NM_014189.3	ADD1
NM_014190.3	ADD1
NM_014191.3	SCN8A
NM_014203.2	AP2A1
NM_014205.3	ZNHIT2
NM_014206.3	TMEM258
NM_014207.3	CD5
NM_014208.3	DSPP
NM_014209.3	ETV2
NM_014210.3	EVI2A
NM_014211.2	GABRP
NM_014212.3	HOXC11
NM_014213.3	HOXD9
NM_014214.2	IMPA2
NM_014215.2	INSRR
NM_014216.5	ITPK1
NM_014217.3	KCNK2
NM_014218.2	KIR2DL1
NM_014220.2	TM4SF1
NM_014222.2	NDUFA8
NM_014223.4	NFYC
NM_014224.4	PGA5
NM_014225.5	PPP2R1A
NM_014226.2	MOK
NM_014227.2	SLC5A4
NM_014228.4	SLC6A7
NM_014229.2	SLC6A11
NM_014230.3	SRP68
NM_014231.4	VAMP1
NM_014232.2	VAMP2
NM_014233.3	UBTF
NM_014234.4	HSD17B8
NM_014235.4	UBL4A
NM_014236.3	GNPAT
NM_014237.2	ADAM18
NM_014238.1	KSR1
NM_014239.3	EIF2B2
NM_014240.2	LIMD1
NM_014241.3	HACD1
NM_014243.2	ADAMTS3
NM_014244.4	ADAMTS2
NM_014245.4	RNF7
NM_014246.1	CELSR1
NM_014247.2	RAPGEF2
NM_014248.3	RBX1
NM_014251.2	SLC25A13
NM_014252.3	SLC25A15
NM_014253.3	TENM1
NM_014254.2	TMEM5
NM_014255.5	CNPY2
NM_014256.3	B3GNT3
NM_014257.4	CLEC4M
NM_014258.3	SYCP2
NM_014260.3	PFDN6
NM_014262.4	P3H3
NM_014263.3	YME1L1
NM_014264.4	PLK4
NM_014265.5	ADAM28
NM_014266.3	HCST
NM_014267.5	C11orf58
NM_014268.3	MAPRE2
NM_014269.4	ADAM29
NM_014270.4	SLC7A9
NM_014271.3	IL1RAPL1
NM_014272.4	ADAMTS7
NM_014275.4	MGAT4B
NM_014276.3	RBPJL
NM_014278.3	HSPA4L
NM_014279.4	OLFM1
NM_014280.2	DNAJC8
NM_014281.4	PUF60
NM_014282.3	HABP4
NM_014283.4	SUCO
NM_014284.2	NCDN
NM_014285.6	EXOSC2
NM_014286.3	NCS1
NM_014287.3	NOMO1
NM_014288.4	ITGB3BP
NM_014289.3	CAPN6
NM_014290.2	TDRD7
NM_014291.3	GCAT
NM_014292.4	CBX6
NM_014293.3	NPTXR
NM_014294.5	TRAM1
NM_014296.2	CAPN7
NM_014297.4	ETHE1
NM_014298.4	QPRT
NM_014299.2	BRD4
NM_014300.3	SEC11A
NM_014301.4	ISCU
NM_014302.3	SEC61G
NM_014303.3	PES1
NM_014305.3	TGDS
NM_014306.4	RTCB
NM_014308.3	PIK3R5
NM_014309.2	RBFOX2
NM_014310.3	RASD2
NM_014311.2	SMUG1
NM_014312.4	VSIG2
NM_014313.3	TMEM50A
NM_014314.3	DDX58
NM_014315.2	KLHDC2
NM_014316.3	CARHSP1
NM_014317.4	PDSS1
NM_014319.4	LEMD3
NM_014320.2	HEBP2
NM_014321.3	ORC6
NM_014322.2	OPN3
NM_014323.2	PATZ1
NM_014324.5	AMACR
NM_014325.3	CORO1C
NM_014326.3	DAPK2
NM_014328.4	RUSC1
NM_014329.4	EDC4
NM_014330.3	PPP1R15A
NM_014331.3	SLC7A11
NM_014332.2	SMPX
NM_014333.3	CADM1
NM_014334.3	FRRS1L
NM_014335.2	EID1
NM_014336.4	AIPL1
NM_014337.3	PPIL2
NM_014338.3	PISD
NM_014339.6	IL17RA
NM_014341.2	MTCH1
NM_014342.3	MTCH2
NM_014343.2	CLDN15
NM_014344.3	FJX1
NM_014345.2	ZNF318
NM_014346.3	TBC1D22A
NM_014347.2	ZNF324
NM_014349.2	APOL3
NM_014350.3	TNFAIP8
NM_014351.3	SULT4A1
NM_014352.3	POU2F3
NM_014353.4	RAB26
NM_014357.4	LCE2B
NM_014358.3	CLEC4E
NM_014359.3	OPTC
NM_014360.3	NKX2-8
NM_014361.3	CNTN5
NM_014362.3	HIBCH
NM_014363.5	SACS
NM_014364.4	GAPDHS
NM_014365.2	HSPB8
NM_014366.4	GNL3
NM_014367.3	FAM162A
NM_014368.4	LHX6
NM_014369.3	PTPN18
NM_014370.3	SRPK3
NM_014371.3	AKAP8L
NM_014372.4	RNF11
NM_014373.2	GPR160
NM_014374.3	REPIN1
NM_014375.2	FETUB
NM_014376.3	CYFIP2
NM_014377.1	DNAJC2
NM_014379.3	KCNV1
NM_014380.2	BEX3
NM_014381.2	MLH3
NM_014382.3	ATP2C1
NM_014383.2	ZBTB32
NM_014384.2	ACAD8
NM_014385.3	SIGLEC7
NM_014386.3	PKD2L2
NM_014387.3	LAT
NM_014388.6	DIEXF
NM_014389.2	PELP1
NM_014390.3	SND1
NM_014391.2	ANKRD1
NM_014392.4	NSG1
NM_014393.2	STAU2
NM_014394.2	GHITM
NM_014395.2	DAPP1
NM_014396.3	VPS41
NM_014397.5	NEK6
NM_014398.3	LAMP3
NM_014399.3	TSPAN13
NM_014400.2	LYPD3
NM_014402.4	UQCRQ
NM_014405.3	CACNG4
NM_014406.4	CCT8L2
NM_014407.3	KCNMB3
NM_014408.4	TRAPPC3
NM_014409.3	TAF5L
NM_014410.4	CLUL1
NM_014412.2	CACYBP
NM_014413.3	EIF2AK1
NM_014415.3	ZBTB11
NM_014417.4	BBC3
NM_014419.3	DKKL1
NM_014420.2	DKK4
NM_014421.2	DKK2
NM_014423.3	AFF4
NM_014424.4	HSPB7
NM_014425.4	INVS
NM_014426.3	SNX5
NM_014427.4	CPNE7
NM_014429.3	MORC1
NM_014430.2	CIDEB
NM_014431.2	PALD1
NM_014432.3	IL20RA
NM_014433.2	RSPH14
NM_014434.3	NDOR1
NM_014435.3	NAAA
NM_014437.4	SLC39A1
NM_014438.4	IL36B
NM_014439.3	IL37
NM_014440.2	IL36A
NM_014441.2	SIGLEC9
NM_014442.2	SIGLEC8
NM_014443.2	IL17B
NM_014444.4	TUBGCP4
NM_014445.3	SERP1
NM_014447.3	ARFIP1
NM_014448.3	ARHGEF16
NM_014449.1	GPR162
NM_014450.2	SIT1
NM_014451.3	BBS9
NM_014452.4	TNFRSF21
NM_014453.3	CHMP2A
NM_014454.2	SESN1
NM_014455.3	RNF115
NM_014456.4	PDCD4
NM_014458.3	KLHL20
NM_014460.3	CSDC2
NM_014461.3	CNTN6
NM_014462.2	LSM1
NM_014463.2	LSM3
NM_014464.3	TINAG
NM_014465.3	SULT1B1
NM_014466.2	TEKT2
NM_014467.2	SRPX2
NM_014468.3	VENTX
NM_014469.4	RBMXL2
NM_014470.3	RND1
NM_014471.2	SPINK4
NM_014472.4	R3HCC1L
NM_014473.2	DIMT1
NM_014474.3	SMPDL3B
NM_014475.3	DHDH
NM_014476.5	PDLIM3
NM_014477.2	TP53TG5
NM_014478.4	CRCP
NM_014479.3	ADAMDEC1
NM_014480.3	ZNF544
NM_014481.3	APEX2
NM_014482.2	BMP10
NM_014483.3	RBMS3
NM_014484.4	MOCS3
NM_014485.2	HPGDS
NM_014487.5	ZNF330
NM_014488.4	RAB30
NM_014489.3	PGAP2
NM_014491.3	FOXP2
NM_014495.3	ANGPTL3
NM_014496.4	RPS6KA6
NM_014497.4	ZNF638
NM_014498.4	GOLIM4
NM_014499.3	P2RY10
NM_014500.4	HTATSF1
NM_014501.2	UBE2S
NM_014502.4	PRPF19
NM_014503.2	UTP20
NM_014504.2	RABGEF1
NM_014505.5	KCNMB4
NM_014506.2	TOR1B
NM_014507.3	MCAT
NM_014508.2	APOBEC3C
NM_014509.4	SERHL2
NM_014510.2	PCLO
NM_014515.5	CNOT2
NM_014516.3	CNOT3
NM_014517.4	UBP1
NM_014518.3	ZNF229
NM_014519.3	ZNF232
NM_014520.3	MYBBP1A
NM_014521.2	SH3BP4
NM_014547.4	TMOD3
NM_014548.3	TMOD2
NM_014550.3	CARD10
NM_014551.4	NCAPH2
NM_014553.2	TFCP2L1
NM_014555.3	TRPM5
NM_014562.3	OTX1
NM_014563.5	TRAPPC2
NM_014564.4	LHX3
NM_014565.2	OR1A1
NM_014566.1	OR1D5
NM_014567.3	BCAR1
NM_014568.2	GALNT5
NM_014569.3	ZKSCAN5
NM_014570.4	ARFGAP3
NM_014571.3	HEYL
NM_014572.2	LATS2
NM_014573.2	TMEM97
NM_014574.3	STRN3
NM_014575.3	SCHIP1
NM_014576.3	A1CF
NM_014578.3	RHOD
NM_014579.3	SLC39A2
NM_014580.4	SLC2A8
NM_014581.3	OBP2B
NM_014582.2	OBP2A
NM_014583.3	LMCD1
NM_014584.2	ERO1A
NM_014585.5	SLC40A1
NM_014586.1	HUNK
NM_014587.4	SOX8
NM_014588.5	VSX1
NM_014589.2	PLA2G2E
NM_014590.3	ERVW-1
NM_014591.4	KCNIP2
NM_014592.3	KCNIP1
NM_014593.3	CXXC1
NM_014594.2	ZNF354C
NM_014595.2	NT5C
NM_014597.4	DNTTIP2
NM_014598.3	SOCS7
NM_014599.5	MAGED2
NM_014600.2	EHD3
NM_014601.3	EHD2
NM_014602.2	PIK3R4
NM_014603.2	CDR2L
NM_014604.3	TAX1BP3
NM_014606.2	HERC3
NM_014607.3	UBXN4
NM_014608.4	CYFIP1
NM_014611.2	MDN1
NM_014612.4	FAM120A
NM_014613.2	FAF2
NM_014614.2	PSME4
NM_014615.3	GSE1
NM_014616.2	ATP11B
NM_014617.3	CRYGA
NM_014618.2	BRINP1
NM_014619.4	GRIK4
NM_014620.5	HOXC4
NM_014621.2	HOXD4
NM_014622.4	VWA5A
NM_014623.3	MEA1
NM_014624.3	S100A6
NM_014625.3	NPHS2
NM_014626.3	TAAR2
NM_014628.2	MAD2L1BP
NM_014629.3	ARHGEF10
NM_014630.2	ZNF592
NM_014631.2	SH3PXD2A
NM_014632.3	MICAL2
NM_014633.4	CTR9
NM_014634.3	PPM1F
NM_014636.2	RALGPS1
NM_014637.3	MTFR1
NM_014638.3	PLCH2
NM_014639.3	TTC37
NM_014640.4	TTLL4
NM_014641.2	MDC1
NM_014643.3	ZNF516
NM_014644.5	PDE4DIP
NM_014646.2	LPIN2
NM_014647.3	KIAA0430
NM_014648.3	DZIP3
NM_014649.2	SAFB2
NM_014650.3	ZNF432
NM_014652.3	IPO13
NM_014653.3	WSCD2
NM_014654.3	SDC3
NM_014655.3	SLC25A44
NM_014656.2	KIAA0040
NM_014657.2	TTI1
NM_014659.5	PPIP5K1
NM_014660.3	PHF14
NM_014661.3	FAM53B
NM_014662.4	DEPDC5
NM_014663.2	KDM4A
NM_014665.3	LRRC14
NM_014666.3	CLINT1
NM_014667.3	VGLL4
NM_014668.3	GREB1
NM_014669.4	NUP93
NM_014670.3	BZW1
NM_014671.2	UBE3C
NM_014672.3	KIAA0391
NM_014673.4	EMC2
NM_014674.2	EDEM1
NM_014675.4	CROCC
NM_014676.2	PUM1
NM_014677.4	RIMS2
NM_014678.4	PPP6R2
NM_014679.4	CEP57
NM_014680.3	KIAA0100
NM_014681.5	DHX34
NM_014682.2	ST18
NM_014683.3	ULK2
NM_014685.3	HERPUD1
NM_014686.3	KIAA0355
NM_014687.3	RUBCN
NM_014688.3	USP6NL
NM_014689.2	DOCK10
NM_014690.4	FAM131B
NM_014691.2	AQR
NM_014692.1	SEC14L5
NM_014693.3	ECE2
NM_014694.3	ADAMTSL2
NM_014695.2	CCDC144A
NM_014696.3	GPRIN2
NM_014697.2	NOS1AP
NM_014698.2	TMEM63A
NM_014699.3	ZNF646
NM_014700.3	RAB11FIP3
NM_014701.3	SECISBP2L
NM_014702.4	KIAA0408
NM_014703.2	DCAF1
NM_014704.3	CEP104
NM_014705.3	DOCK4
NM_014706.3	SART3
NM_014707.3	HDAC9
NM_014708.4	KNTC1
NM_014709.3	USP34
NM_014710.4	GPRASP1
NM_014711.5	CCP110
NM_014712.2	SETD1A
NM_014713.4	LAPTM4A
NM_014714.3	IFT140
NM_014715.3	ARHGAP32
NM_014716.3	ACAP1
NM_014717.2	ZNF536
NM_014718.3	CLSTN3
NM_014719.2	TCAF1
NM_014720.3	SLK
NM_014721.2	PHACTR2
NM_014722.4	FAM65B
NM_014723.3	SNPH
NM_014725.4	STARD8
NM_014726.2	TBKBP1
NM_014727.2	KMT2B
NM_014728.3	FRMPD4
NM_014729.2	TOX
NM_014730.3	MLEC
NM_014732.3	KIAA0513
NM_014733.4	ZFYVE16
NM_014734.3	SUSD6
NM_014735.4	JADE3
NM_014736.5	PCLAF
NM_014737.2	RASSF2
NM_014738.5	TMEM94
NM_014739.2	BCLAF1
NM_014740.3	EIF4A3
NM_014741.4	ATG13
NM_014742.3	TM9SF4
NM_014743.2	KIAA0232
NM_014744.2	TBC1D5
NM_014746.4	RNF144A
NM_014747.2	RIMS3
NM_014748.3	SNX17
NM_014749.4	KIAA0586
NM_014750.4	DLGAP5
NM_014751.5	MTSS1
NM_014752.2	SPCS2
NM_014753.3	BMS1
NM_014754.2	PTDSS1
NM_014755.2	SERTAD2
NM_014756.3	CKAP5
NM_014757.4	MAML1
NM_014758.2	SNX19
NM_014759.3	PHYHIP
NM_014760.3	TATDN2
NM_014761.3	IST1
NM_014762.3	DHCR24
NM_014763.3	MRPL19
NM_014764.3	DAZAP2
NM_014765.2	TOMM20
NM_014766.4	SCRN1
NM_014767.2	SPOCK2
NM_014770.3	AGAP2
NM_014771.3	RNF40
NM_014772.2	CTIF
NM_014773.4	KIAA0141
NM_014774.2	EFCAB14
NM_014775.3	SFI1
NM_014776.4	GIT2
NM_014777.3	URB2
NM_014779.3	TSC22D2
NM_014780.4	CUL7
NM_014781.4	RB1CC1
NM_014782.6	ARMCX2
NM_014783.5	ARHGAP11A
NM_014784.3	ARHGEF11
NM_014786.3	ARHGEF17
NM_014787.3	DNAJC6
NM_014788.3	TRIM14
NM_014789.3	ZNF623
NM_014790.4	JAKMIP2
NM_014791.3	MELK
NM_014793.4	LCMT2
NM_014795.3	ZEB2
NM_014796.2	TESPA1
NM_014797.2	ZBTB24
NM_014798.2	PLEKHM1
NM_014799.3	HEPH
NM_014800.10	ELMO1
NM_014801.3	PCNX2
NM_014802.2	C2CD5
NM_014803.3	ZNF518A
NM_014804.2	KIAA0753
NM_014805.3	EPM2AIP1
NM_014806.4	RUSC2
NM_014807.4	C2CD2L
NM_014808.3	FARP2
NM_014809.3	KIAA0319
NM_014810.4	CEP350
NM_014811.3	PPP1R26
NM_014812.2	CEP170
NM_014813.2	LRIG2
NM_014814.2	PSMD6
NM_014815.3	MED24
NM_014817.3	TRIL
NM_014818.1	TRIM66
NM_014819.4	PJA2
NM_014820.4	TOMM70
NM_014822.3	SEC24D
NM_014823.2	WNK1
NM_014824.2	FCHSD2
NM_014825.2	URB1
NM_014826.4	CDC42BPA
NM_014827.5	ZC3H11A
NM_014828.3	TOX4
NM_014829.3	DDX46
NM_014830.2	ZBTB39
NM_014831.2	TRANK1
NM_014832.4	TBC1D4
NM_014834.4	LRRC37A
NM_014835.3	OSBPL2
NM_014836.4	RHOBTB1
NM_014838.2	ZBED4
NM_014839.4	PLPPR4
NM_014840.2	NUAK1
NM_014841.2	SNAP91
NM_014844.4	TECPR2
NM_014845.5	FIG4
NM_014846.3	WASHC5
NM_014847.3	UBAP2L
NM_014848.6	SV2B
NM_014849.4	SV2A
NM_014850.3	SRGAP3
NM_014851.3	KLHL21
NM_014853.2	SGSM2
NM_014855.2	AP5Z1
NM_014856.2	DENND4B
